ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,MileMinDur,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime
43783,3/22/1995, , , , ,0,0,72.35, ,0,7.978, ,88.24,81.5,60.02,81.44,In state,1, , ,7,1
20278,1/1/1995, , , ,Philosophy,0,0,70.66,179.2,0,8.004,0:06:21,89.45,85.25,70.19,73.27, ,1, , ,5,2
20389,12/31/1994, , , , ,0,0,70.68,198.52,0, ,0:07:00,96.73,86.88,71.2,84.24,In state, , , ,8,7
22820,12/1/1994, , , ,business administration,1,0, ,198.34, ,8.473,0:12:44,74.06,88.68,55.89,73.16,In state,1, , ,2,6
24559,11/10/1994, , , , ,1,1,67.43,128.17,2, ,0:06:25,82.61,77.3,65.52,80.45,Out of state,1, , ,7,3
28980,9/17/1994, , , ,astrophysics,0,1,68.45,171.61,0,4.65,0:07:24,70.1, ,61.4,77.48,In state,1, , ,8,3
33312,7/27/1994, , , ,Anthropology,0,1,68.56,163.96,0,4.75,0:05:47,78.98,87.53,76.71,70.79,In state,1, , ,9,9
40274,5/3/1994, , , ,American History,0,1,71.91,222.87,0, ,0:05:40, ,67.31,58.64,65.89,In state,0, , ,8,3
40390,4/30/1994, , , ,Africana studies,1,1,68.84,154.7,0,6.279,0:06:51,75.65,76.54,51.14,75.94,In state,0,3,26, ,3
28942,9/17/1993, , , , ,1,1,66.69,180.57,0,6.076,0:06:37,68.27,93.88,55.2,78.18,Out of state, ,1,13,2,15
29045,9/17/1993, , , ,French,0,0,70.12,164.59,0,8.498,0:09:22,86,91.34,64.41,71.02,Out of state,0,3,20,1,6
35676,6/27/1993, , , ,history,1,1,66.91,177.89, , ,0:06:36,79.94,76.74,62.53,84.78,In state,1, , ,4,0
38764,5/22/1993, , , , ,0,1,65.21,139.95,0,4.661,0:06:17,101.95,74.45,66.8,88.5,In state,0,3,29,4,2
39796,5/8/1993, , , , ,1,0,72.35,230.27,2,7.312,0:09:05,88.97,86.53,52.48,81.21,Out of state,0,3,38,4,2
41092,4/23/1993, , , ,"engineering, undecided",0,0,67.12,261.92,0,7.113,0:10:26,91.79,84.44,66.76,88.03,In state,1, , ,4,11
43344,3/26/1993, , , ,Fine Arts (Painting),0,0, ,132.69,1,7.443,0:08:19,70.42,85.29,57.95,79.22,In state,1, , ,9, 
49688,1/8/1993, , , ,education,0,0,79, ,0, ,0:06:46,97.23, ,67.72,84.35,In state,1, , ,13, 
37701,6/2/1992, , , , ,1,1,63.12, ,2,6.499,0:06:53,85.71,78.06,66.83,82.99,In state,1, , ,6,1
44116,3/16/1992, , , ,Exorcise Science,1,0,69.25,183.68, , ,0:08:14,82.99,74.41,61.4,81.12,In state,1, , ,5,15
25871,10/26/1991, , , ,saxophone,0,1, ,148.82,0,4.524,0:06:11,83.95,74.02,74.92,64.06,In state,0,3,27,4, 
26154,10/22/1991, , , ,mathematics,1,0,58.8,128.73,0,6.737,0:08:17,74.88,79.61,51.3,79.64,In state,0,1,21,2,7
41291,4/21/1991, , , , ,0,1,71.67,205.62,0,4.89,0:06:34,84.67,79.64,60.85,76.77,Out of state,0,3,24,9,6
46752,2/13/1991, , , ,Education Administration,1,0,61.94,179.64,2,7.013,0:08:29,99.51,95.81,68.91,84.19,In state,1, , ,3,9
20183,1/3/1991, , , ,Creative writing,0,0,66.92,192.61,0,7.407,0:07:47,83.3,82.98,68.82,75.49,In state,0,3,34,6,5
23643,11/22/1990, , , , ,0,1, , ,0, , ,80.86,75.15,75.69,81.12, ,0,3,33,5,6
40303,5/2/1990, , , , ,1,0,59.59,186.4,0, , ,84.67,87.04,73.94,87.61, ,0,3,20,3,4
27496,10/6/1988, , , , ,1,0,67.51,251.41,0,7.035,0:07:37,74.85,70.41,65.51,83.06,In state,0,2,10,3,11
26582, , , , ,Journalism,0,1,73.71,197.09,0,4.749,0:05:19,85.67,67.62,53.06,77.68, , , , ,3,12
46919, , , , , ,1,1,72.26,166.04,0,5.381, ,82.56,77.19,60.73,83.54,In state,0,3,21,3,6
20230,1/2/1996,4-Aug-2014,11-May-2020,1,pre-pharma,0,1,80.11, ,0,5.203,0:07:34,81.6,75.6,65.36,76.07,In state,1, , ,8,3
21083,12/22/1995,4-Aug-2014,11-May-2020,1, ,1,0,72.05,234.64,0,6.746,0:07:06,78.85,86.92,68.53,71.42,In state,0,3,26,5,3
21939,12/12/1995,4-Aug-2014,11-May-2020,1, ,0,1,66.09, ,0,5.326,0:07:28,87.7,81.1,61.61, ,In state,0,3,39,6,5
23017,11/29/1995,4-Aug-2014,11-May-2020,1, , ,0,71.72,224.57,0,7.638,0:05:55,76.63,84.19,65.25,72.61,In state,0,2,8,8,4
23217,11/26/1995,4-Aug-2014,13-May-2019,1,Pre Med,0,0,71.41,224.02,0,6.475,0:06:03,75.2,81.54,66.66,85.38,In state,0,3,31,5,5
23889,11/18/1995,4-Aug-2014,13-May-2019,1,communication,0,1,70.29,175.49,0,4.593,0:05:21,81.74,86.41,66.21,76.24,In state,1, , ,9,8
24985,11/5/1995,4-Aug-2014,13-May-2019,1,Biology,1,0,67.27, ,1,7.025,0:12:17, ,77.65,56.04, ,In state,1, , ,8,11
25382,10/31/1995,4-Aug-2014,11-May-2020,1, ,0,1,71.72,164.17,0,4.574,0:06:40,87.54,84.77,69.78,78.52,In state,0,3,27,5,3
25701,10/27/1995,4-Aug-2014,13-May-2019,1,Chemistry,1,0,62.36,163.99,0,6.136,0:07:28,83.97,85.85,57.74,83.65,In state,1, , ,6,11
26140,10/21/1995,4-Aug-2014,11-May-2020,1,Aeronautics (Air Traffic Control),1,1,69.02,195.56,0,4.634,0:05:36,83.15,83.95,77.6,89.07,Out of state,0,3,33, ,5
29142,9/15/1995,4-Aug-2014,11-May-2020,1,Soc,1,0,68.67, ,0,6.572,0:08:19,89.48,78,59.24,81.95,Out of state,1, , ,4,0
30056,9/4/1995,4-Aug-2014,11-May-2020,1,Poli Sci,0,1,72.17,175.91, , ,0:06:03,81.35,73.57,67.89,69.86,In state,1, , ,7,4
30164,9/3/1995,4-Aug-2014,11-May-2020,1, ,0,0,69.58,183.92, ,6.838,0:05:37,71.07,86.6,63.45,75.72,In state,0,3,37,7,5
30953,8/23/1995,4-Aug-2014,11-May-2020,1, ,1,0, ,118.99,0,7.875,0:09:05,72.79,71.65,68.83,78.85,In state,1, , ,8,11
31227,8/20/1995,4-Aug-2014,11-May-2020,1,art historyy,1,0,68.38,149.67,2,7.494,0:11:22,82.28,81.25,61.78,78.66,In state,1, , ,10,5
31862,8/14/1995,4-Aug-2014,13-May-2019,1, ,0,1,73.25, , ,5.625,0:08:08,75.44,86.14,59.64,76.88,In state,1, , ,3,5
32521,8/6/1995,4-Aug-2014,13-May-2019,1,Art history,0,1,77.49,230.42,0,4.979,0:08:16,76.9,85.24,75.94, ,In state,0,3,20,5,6
33055,7/30/1995,4-Aug-2014,13-May-2019,1, ,0,1,69.78, ,0,4.673, , ,74.07,57.48,73.15,In state,1, , ,5,5
33153,7/28/1995,4-Aug-2014,13-May-2019,1, , ,0,64.82,199.74,0,7.181,0:06:51, ,84.98,75.66,87.03,In state,1, , ,5,3
34417,7/12/1995,4-Aug-2014,13-May-2019,1, ,1,1,67.54, ,0,5.138,0:05:50,80.95,73.22,61,81.69,In state,0,3,28,7, 
34717,7/10/1995,4-Aug-2014,11-May-2020,1, ,0,1,76.97,157.67,0,5.887,0:06:07,76.47,80.82,68.19,78.88,In state,1, , ,7,1
35023,7/5/1995,4-Aug-2014,13-May-2019,1, ,1,0,62.46,193.87,0, ,0:09:06,94.43,87.34,79.93,79.63,Out of state,1, , ,6,19
35599,6/28/1995,4-Aug-2014,11-May-2020,1, ,0,0,67.29,218.97, ,7.323,0:09:21,74.07,73.45,63.54, ,In state,1, , ,5,3
36555,6/18/1995,4-Aug-2014,11-May-2020,1, ,0,0,72.69,253.6,2,6.716,0:06:09,70.48,85.48,65.88,71.44,In state,0,3,31,7,7
38134,5/29/1995,4-Aug-2014,13-May-2019,1,agricultural studies,0,1,64.9,194.61,0,4.873,0:08:19,84.95,81.01,62.08,71.21,In state,1, , ,6,5
38528,5/24/1995,4-Aug-2014,13-May-2019,1, ,1,0,62.42,127.89,1,7.706,0:09:32,85.24,82.77,82.14,83.03,Out of state,1, , ,2,5
38775,5/21/1995,4-Aug-2014,13-May-2019,1,Finance,0,1,70.58,152.7,0, ,0:06:01,79.64,68.83,47.62,77.11,In state,1, , ,5,5
38980,5/19/1995,4-Aug-2014,11-May-2020,1,bio,0,0,74.92,165.06,0,8.926,0:10:40,88.44,84.15,78.38,69.52,In state,0,3,27,6,5
39006,5/17/1995,4-Aug-2014,13-May-2019,1,Theare,1,1,67.56,151.53,0,6.663,0:08:28,89.49,86.13,65.3,84.68,In state, , , ,4,10
39341,5/15/1995,4-Aug-2014,13-May-2019,1, ,0,1,73.48,212.18,0,5.456,0:06:28,77.64,71.09,66.48,74.43, ,1, , ,7, 
39542,5/11/1995,4-Aug-2014,11-May-2020,1,Engineering,1,0,73.06,213.32,0,7.93,0:13:14,75.38,76.45,63.7,76.69,In state,1, , , , 
39715,5/11/1995,4-Aug-2014,11-May-2020,1,environmental policy,0,1, , ,0,4.751,0:06:00, ,80.51,70.42,74.57,In state,1, , ,9,6
40161,5/3/1995,4-Aug-2014,13-May-2019,1,Classics,1,0,61.22,197.51,0,7.296,0:07:34,87.87,91.89,77.23,86.6,Out of state,1, , ,10,1
40619,4/29/1995,4-Aug-2014,11-May-2020,1,media literacy,0,0,65.7,267.88,1,5.537,0:07:03,82.24,93.34,63.28, ,In state,1, , ,4,8
41288,4/22/1995,4-Aug-2014,11-May-2020,1, ,0,0,69.63,176.11,2,7.848, ,79.48,101.59,73.49,71.67,Out of state,1, , ,5,1
41254,4/20/1995,4-Aug-2014,11-May-2020,1,ancient studies,1,0,56.54,129.98,0,7.171,0:08:10,85.53,76.35,55.19,84.97,Out of state,1, , ,4,15
42023,4/10/1995,4-Aug-2014,11-May-2020,1, ,1,0,63.63,126.63,0,7.701,0:09:49,72.31,89.03,78.04,72.55,Out of state,0,3,33,8,1
42630,4/5/1995,4-Aug-2014,13-May-2019,1, ,0,0,84.41,350.07,0,6.646,0:08:58,71.29,83.84,68.85,76.56,In state,1, , ,2,4
42850,4/2/1995,4-Aug-2014,13-May-2019,1,Higher Ed,0,0,62.84,115.98,2,7.817, ,60.96,69.87,58.97,71.56,In state,1, , ,1,4
42769,4/1/1995,4-Aug-2014,13-May-2019,1,Psych,1,0,60.15,141.98,1, ,0:08:19,75.07,72.17,49.4,75.89,In state,1, , ,8,2
43221,3/26/1995,4-Aug-2014,11-May-2020,1, ,1,1,66.17, ,0, ,0:05:16,76.23,79.79,64.83,83.58,In state,1, , ,5,4
44088,3/18/1995,4-Aug-2014,13-May-2019,1,Music Education,0,1,75.91, ,0,4.566,0:06:46,85.34,81.42,73.51,74,In state,1, , ,8,10
44413,3/12/1995,4-Aug-2014,11-May-2020,1,Pre-med,1,0,69.43,207.72,0,8.157,0:12:40,86.85,91.25,76.93,84.01,In state,0,3,30,5,9
44517,3/11/1995,4-Aug-2014,11-May-2020,1,Environmental Science,1,1,66.07,137,0,6.826,0:07:29,69.81,70.58,35.32,70.73,In state,1, , ,5, 
46221,2/20/1995,4-Aug-2014,11-May-2020,1,liberal Studies,0,1,66.29,153.8,0,4.681,0:06:54,82.49,82.01,62.99,75.64,In state,1, , ,3,6
47050,2/6/1995,4-Aug-2014,11-May-2020,1,psycho,1,0,62.89,158.85,2,7.256,0:09:18,84.3,78.72,72.52,80.03,In state,0,3,32,3,12
47887,1/28/1995,4-Aug-2014,11-May-2020,1,photograPhy,1,1, ,151.97,0,5.527,0:06:23,86.59,79.22,57.58,70.89,In state,1, , ,4,3
48361,1/25/1995,4-Aug-2014,13-May-2019,1,sport and exercise science,0,0,83.73,206.55,0,7.817,0:09:59,95.23,76.72,69.7,82.44,In state,1, , ,5,6
49213,1/16/1995,4-Aug-2014,11-May-2020,1,Geograph,0,1,74.32,164.91,0,5.685,0:07:09,89.3,90.92,66.46,82.21,In state,1, , ,2,6
49326,1/14/1995,4-Aug-2014,13-May-2019,1, ,0,0,72.85,194.74,0,7.812,0:09:09,69.48,79.78,54.69,69.38,In state,1, , ,5,6
49155,1/13/1995,4-Aug-2014,11-May-2020,1,English,1,0,62.2,186.84,0,6.735, ,77.17,55.11,40.38,80.62,In state,1, , ,8,3
20531,12/29/1994,4-Aug-2014,13-May-2019,1, ,0,1, ,261.59,0,4.503, ,93.69,87.7,76.35,79.08,In state,1, , ,4,1
20615,12/28/1994,4-Aug-2014,11-May-2020,1,photography,1,0,66.4,167.57,0, ,0:09:49,85.44,85.49,69.92,84.34,In state,1, , ,7,6
21492,12/17/1994,4-Aug-2014,11-May-2020,1,Art Education,1,1,63.88,161.63,0,4.644,0:06:43,81.83,74.06,71.23,82.36,In state,1, , ,5,4
22069,12/10/1994,4-Aug-2014,11-May-2020,1, ,0,0,72.57,224.92,0,7.135, ,83.19,89.74,72.56,76.63, ,1, , ,3,7
22567,12/4/1994,4-Aug-2014,13-May-2019,1,sports medicine,1,1,64.43,194.01,0,4.819,0:05:38,80.07,103.62,79.17,75.56,In state,1, , ,7, 
23767,11/20/1994,4-Aug-2014,11-May-2020,1,French,0,1,66.82,166.55,0,5.654,0:06:13,77.42,79.14,60.06,76.25,In state, , , ,4,11
23937,11/17/1994,4-Aug-2014,13-May-2019,1,Theatre,1,0,62.59,139.85,2,8.865,0:10:19,83.79,87.48,57.57,81.66,In state, , , ,4,8
24153,11/15/1994,4-Aug-2014,13-May-2019,1,Education - Science,1,0,62.12,106.48,2,8.48,0:12:33,81,70.87,48.06,88.89,Out of state, ,3,23,7,4
24202,11/14/1994,4-Aug-2014,13-May-2019,1, ,1,0,57.4,164.53, ,6.839, ,79,78.47,59.89,79.02,Out of state,1, , ,8,4
24556,11/10/1994,4-Aug-2014,11-May-2020,1,finance,1,0, ,180.44,0,6.259,0:09:09,84.09,69.8, , ,In state,1, , ,8,1
24656,11/9/1994,4-Aug-2014,13-May-2019,1,interior design,1,0,67.11, ,0,8.224,0:11:47,81.68,88.16,70.56,72.53,In state,1, , ,6,3
25740,10/26/1994,4-Aug-2014,11-May-2020,1, ,1,0,66.97,154.81,0,8.285,0:10:59,82.56,89.88,81.44, ,In state,0,3,28,4,3
26435,10/18/1994,4-Aug-2014,13-May-2019,1, ,1,0,58.18,162.45,2,5.513,0:07:13,77.97,89.03,79.61,92.3,In state,1, , ,3,5
26707,10/15/1994,4-Aug-2014,11-May-2020,1,Applied Math,0,0,77.91,172.53,0,8.991,0:07:11,83.82,87.67,70.43,74.04,Out of state,0,3,23,5,3
26691,10/15/1994,4-Aug-2014,13-May-2019,1, ,1,1,63.91,149.48,0,4.895,0:07:08,85.27,77.75,69.3,75.6,Out of state,0,3,34, ,20
27539,10/4/1994,4-Aug-2014,13-May-2019,1,Graphic Design,1,0,74.57,266.78,0,6.55,0:09:13,85.43,87.7,70.57,77.46,In state,1, , ,11,1
49947,9/12/1994,4-Aug-2014,13-May-2019,1,marketting,1,1,68.32,160.54,0,5.503,0:06:48,71.12,56.53,55.43,73.56,In state,1, , ,7,9
29516,9/10/1994,4-Aug-2014,13-May-2019,1, ,1,0,62.98, ,2, ,0:08:45,83.57,84.35,74.31,80.7,In state, , , , , 
30826,8/25/1994,4-Aug-2014,13-May-2019,1, ,1,1,65.62,158.96,0, ,0:05:32,86.02,79.63,74.44,83.52,In state,0,4,53,5,2
30989,8/23/1994,4-Aug-2014,11-May-2020,1,Undecided,1,1,65.05,153.82,0, ,0:06:42,90.44,87.64,82.37, , ,0,3,36,5,1
32304,8/7/1994,4-Aug-2014,11-May-2020,1,Aerospace engineering,1,1,67.24,157.19,0,5.404,0:07:28,82.77,73.27,55.81,79.15,In state,1, , , ,2
32895,8/1/1994,4-Aug-2014,11-May-2020,1, ,0,0,61.75, ,0,7.435,0:08:54, ,76.19,70.84,82.31,In state,1, , ,6,13
34033,7/17/1994,4-Aug-2014,11-May-2020,1,Journalism,1,0,63.44,140.92,2,6.428,0:09:36,84.34, ,68.01,84.32,In state,1, , ,9,1
34800,7/7/1994,4-Aug-2014,11-May-2020,1,Math and computer science,1,1,68.42,168.86,2, ,0:07:24,74.74,73.12,54.49,78.87,Out of state,1, , , ,3
34919,7/7/1994,4-Aug-2014,11-May-2020,1,biologie,0,0,73.35, ,1, ,0:08:40,59.83,74.71,55.54,74.97,In state,1, , ,6,7
36173,6/21/1994,4-Aug-2014,13-May-2019,1,bfa music,1,1,68.37,171.67,2,6.295,0:05:54,76.98,69.59,66.05,71.83,In state,1, , ,5,4
37458,6/4/1994,4-Aug-2014,13-May-2019,1, ,1,0,60.88,148.84,0,6.747,0:07:35,80.52,81.38,67.75,82.68,In state,0,3,41,2,9
38186,5/29/1994,4-Aug-2014,11-May-2020,1,Art,0,0,69.62, ,0,7.976,0:09:02,74.88,78.19,61.91,85.39,In state,0,3,33,4,7
38365,5/27/1994,4-Aug-2014,11-May-2020,1,philosophy,0,1,66.41,175.2,0,5.808,0:07:36,77.09,79.08,60.93,76.27,Out of state,1, , ,10,5
39281,5/15/1994,4-Aug-2014,11-May-2020,1, ,0,1,72.09,184.58,0,5.653, ,87.89,93.3,70.65,75.39,In state,1, , ,4,4
39550,5/12/1994,4-Aug-2014,13-May-2019,1, ,0,1,75.17,168.11,0,5.328,0:06:29,89.24,80.79, ,78.24,In state,0,3,26,6,4
42681,4/4/1994,4-Aug-2014,13-May-2019,1,physic,0,1,67.58,192.06,1,5.771,0:08:36,69.96,78.19,68.17,78.57,In state,1, , ,7,13
42914,3/30/1994,4-Aug-2014,13-May-2019,1, ,1,1,69.92,190.62,0,6.118,0:06:44,85.06,80.56,69.25,85.2,Out of state,1, , ,4,10
43402,3/25/1994,4-Aug-2014,11-May-2020,1,Education - K-12,1,0,65.81,171.38,0,9.247,0:10:38,82.11,77.55,60.62,70.67, ,1, , ,4,5
43610,3/23/1994,4-Aug-2014,11-May-2020,1,Studio art,1,0,69.7,216.06,1,8.478,0:09:45,79.61,78.38,45.79,77.91,In state,1, , ,3,6
44736,3/11/1994,4-Aug-2014,11-May-2020,1,finance,0,1,68.62,188.81,0,5.393,0:06:39,87.96,90.1,70.07, ,In state,0,4,64,4,4
44661,3/10/1994,4-Aug-2014,11-May-2020,1,Clinical Psychology,1,0,58.31,113.11,0,8.133,0:07:23,80.84,82.97, ,83.36,In state,1, , ,6,4
45104,3/5/1994,4-Aug-2014,11-May-2020,1, ,0,0,65.29,167.51,0,7.617,0:07:44,80.64,82.78,60.13,86.08,Out of state,1, , ,6,1
45303,3/4/1994,4-Aug-2014,11-May-2020,1,journalism,0,1,76.12, ,0,5.605, ,96.42,99.42,77.14,81.3,In state, , , ,4,1
45377,3/1/1994,4-Aug-2014,13-May-2019,1,Applied math,1,0,59.56,119.99,0,6.829,0:10:11,83.6,91.38,68.61,80.35,In state,0,2,11, , 
45559,2/28/1994,4-Aug-2014,11-May-2020,1,Spanish,0,0,67.32,216.58,1,6.451,0:05:05,76.55,74.41,64.2,71.37,In state,0,3,30,7,4
45550,2/26/1994,4-Aug-2014,13-May-2019,1,businness,1,1,70.41, ,0,5.91,0:06:40,84.6,67.82,62.77,82.73,In state,0,3,32,5,4
45901,2/24/1994,4-Aug-2014,11-May-2020,1,nursing,0,1,76.76, ,0,4.741,0:07:22,78.37,83.32,65.79,81.93,In state,1, , ,10,4
46109,2/21/1994,4-Aug-2014,11-May-2020,1,Applied Mathematics,0,0,61.16,132.78,0, ,0:07:40,90.8,77.92,65.46,75.46,In state,1, , ,12,3
46808,2/12/1994,4-Aug-2014,13-May-2019,1,music - piano performance,0,0,71.79,155.62,2,7.221,0:06:55,90.18,81.7,80.51,75.58,In state,0,4,45,7,6
46968,2/10/1994,4-Aug-2014,11-May-2020,1,french,1,1,69.55,160.06,0,5.959,0:07:30,88.85,78.56,54.49,85.91,In state, , , ,7,5
48216,1/26/1994,4-Aug-2014,11-May-2020,1,chem,0,1,71.21,170.94,2, ,0:08:50,94.33,76.88,74.19,79.99,In state,1, , ,8,4
49381,1/11/1994,4-Aug-2014,13-May-2019,1, ,1,0,61.53,202.95,2, ,0:08:33,80.03,80.19,65.69,86.64,In state,0,3,35,3, 
49838,1/8/1994,4-Aug-2014,13-May-2019,1, ,0,1,71.56, ,0,5.651,0:06:33,68.97,78.16,60.06,71.87,In state,1, , ,10,7
20248,1/1/1994,4-Aug-2014,11-May-2020,1,stats, ,0,61.32,153.87,2,6.449,0:10:13,88.31,97.32,85.07,88.38,Out of state,0,3,30,5,6
24267,11/13/1993,4-Aug-2014,13-May-2019,1, ,1,0,57.01,113.66,0,6.822,0:11:05,86.13,84.98,59.08,81.71,Out of state,1, , ,4,17
25577,10/28/1993,4-Aug-2014,11-May-2020,1,psychology,1,0,67.18,178.16,2,8.138,0:11:18,91.36,77.64,59.33,89.69,In state,1, , ,7,4
25893,10/25/1993,4-Aug-2014,11-May-2020,1, ,0,1,70.33,189.23,0,5.798,0:07:02,78.84,71.03,60.19,74.68, ,0,3,31,5, 
26481,10/18/1993,4-Aug-2014,13-May-2019,1, ,0,1,73.36,181.2, ,5.707,0:06:57,64.01,76.44,68.95,73.62,Out of state,1, , ,4,11
26998,10/11/1993,4-Aug-2014,11-May-2020,1,social work,0,1,74.56,205.34,0,5.259,0:06:55,85.24,81.39,70.74, ,In state,0,3,28,3,7
27765,10/1/1993,4-Aug-2014,13-May-2019,1,history,1,1,67.71,196.48,0,5.978,0:06:54,70.26,69.19,64.17,66.76,Out of state,1, , , ,11
30426,8/31/1993,4-Aug-2014,13-May-2019,1, ,0,0,74.13,157.94,0,8.044,0:08:10,80.01, ,59.68,76.8,In state,1, , ,3, 
31807,8/14/1993,4-Aug-2014,13-May-2019,1,nursing,0,0,78.2,291.99,0,7.177,0:06:10, ,73.72,58.64,77.89,Out of state,1, , ,1,3
32219,8/9/1993,4-Aug-2014,11-May-2020,1,Family and Consumer Science,0,0,70.4,246.64,0,5.753,0:06:20,82.45,89.05,85.19,75.51,Out of state,1, , ,6, 
32187,8/9/1993,4-Aug-2014,13-May-2019,1,paralegal studies,0,1,68.88,152.39,0,4.704,0:06:24,89.08,89.63, ,72.86,In state,1, , ,6,10
32776,8/2/1993,4-Aug-2014,11-May-2020,1,english,1,0,66.04,221.5,0,8.057,0:09:47,89.33,89.86,59.7,84.88,In state, ,3,39, ,12
34019,7/18/1993,4-Aug-2014,13-May-2019,1,statistics,0,0,64.66,253.22,2, ,0:05:33,86.16,94.94,68.78,71.93,Out of state,0,3,25,10,5
34705,7/10/1993,4-Aug-2014,13-May-2019,1, ,0,0,74.58,269.38,0,6.85,0:06:27,82.95,63.56,57.54,75.98,In state,1, , ,1,7
34595,7/10/1993,4-Aug-2014,13-May-2019,1, ,1,1,65.64,151.96,0,5.544, ,93.78,83.49,66.03,77.69,Out of state,1, , ,6,4
36109,6/22/1993,4-Aug-2014,13-May-2019,1, ,1,1,69.66,168.23,0,5.162, ,82.92,81.07,64.33,81.49,Out of state,1, , ,5,4
36524,6/18/1993,4-Aug-2014,11-May-2020,1, ,0,1,74.27,167.12,2,5.707,0:07:34,75.05,71.04,54.73,72.09,In state,1, , ,5,2
38091,5/29/1993,4-Aug-2014,13-May-2019,1, ,0,1,78.68,238.64,2,5.768,0:08:34,67.03,68.43,64.06,68.87,In state,1, , ,5,8
40408,5/2/1993,4-Aug-2014,13-May-2019,1,math,0,0,73.9,181.27,0, ,0:08:35,75.66,81.97,60.76,75.2,In state,1, , ,8,8
