ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,MileMinDur,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime
33204,7/28/1993,6-Aug-2012,08-May-2017,3, ,0,1,75.38,163.87,0,5.141,0:06:28,92.32,86.05,62.61,79.61,In state,1, , ,8,3
34212,7/15/1993,6-Aug-2012,14-May-2018,3,epidemiology,1,1,69.66, ,1,5.795,0:07:34,82.98,84.31,67.97,90.9,Out of state,0,1,10,6,16
36657,6/15/1993,6-Aug-2012,14-May-2018,3,Chemstry,1,0,70.71,169.66,2,8.232,0:11:07,91.91,91.58,67.08,85.88,In state,0,3,28,3,9
37328,6/8/1993,6-Aug-2012,14-May-2018,3,jhlksjhreksh,0,1, ,216.02,2,5.867,0:06:47,88.57,83.81,63.18,75.69,In state,0,3,30,5,9
37333,6/7/1993,6-Aug-2012,14-May-2018,3,political science,1,0,64.65,150.23,0,6.566,0:07:32,89.12, ,69.9,86.33,In state,0,3,30,4,15
37881,5/30/1993,6-Aug-2012,08-May-2017,3,n/a,1,0,77.33,202.67,0,7.394,0:10:44, ,80.21,63.59,86.54,Out of state,0,3,23,6,5
38631,5/23/1993,6-Aug-2012,14-May-2018,3, ,0,1,68.07,190.81,0, ,0:06:57,94.67,94.17,81.01,86.68, ,0,3,32,7,8
39033,5/17/1993,6-Aug-2012,08-May-2017,3,biology,1,1,67.69,164.02,0,5.791, ,80.97,70.75,60.08,76.89,Out of state,0,3,28,7,9
39816,5/7/1993,6-Aug-2012,14-May-2018,3, ,1,0,63.96,185.01, ,8.274,0:09:56,78.85,85.44,62.8,76.39,Out of state,0,3,26,1,14
40662,4/29/1993,6-Aug-2012,14-May-2018,3,English with minor in spanish,0,1,76.12,220.77,2,5.671,0:07:42,81.41,74.4,65.1,76.24,Out of state,0,3,25,4,4
40916,4/25/1993,6-Aug-2012,08-May-2017,3,biotechnology,1,0,70.5,275.79,0,7.276,0:10:42,91.25,97.69,77.73,83.53,Out of state,0,3,27,6, 
42216,4/9/1993,6-Aug-2012,08-May-2017,3,nursing,0,0,69.66,148.39,1,7.767,0:08:26,87.73,80.76,54.12,71.37,Out of state,0,3,25,2,4
42474,4/6/1993,6-Aug-2012,14-May-2018,3,epidemeology,1,0,67.65,215.38,0,7.266, ,81.29,84.1, ,74.3,Out of state,0,1,14,2,6
43255,3/29/1993,6-Aug-2012,08-May-2017,3,polisci,0,0,65.56,186.21,1,6.363,0:06:16,79.12,76.14,72.92,71,In state,0,3,23,7,4
48033,1/26/1993,6-Aug-2012,08-May-2017,3, ,1,1,68.84,175.69,0,4.621,0:07:11,83.89,75.34,53.49,72.11,In state,0,1,11,5, 
20243,1/2/1993,6-Aug-2012,08-May-2017,3,spanish,1,0,65.99,128.4,1,8.097,0:12:31,81.96,82.52,64.05,81.58,In state,0,3,21,3,7
22029,12/11/1992,6-Aug-2012,14-May-2018,3, ,1,1,65.17, ,0,6.33,0:06:48,78.98,91.92,74.43,77.14,Out of state,0,2,13,7,22
22147,12/9/1992,6-Aug-2012,14-May-2018,3,statistics,1,0,61.17,126.82,2,7.12,0:09:09,85.67,91.34, ,88.33,In state,0,2,4,5,15
22938,11/30/1992,6-Aug-2012,14-May-2018,3,mechanical engineering,0,0,73.84,261.08,0,6.43, ,75.56, ,57.61, ,Out of state,0,3,23,3,9
23514,11/22/1992,6-Aug-2012,08-May-2017,3,religious studies,1,0, ,115.19,2,8.314,0:10:43,87.76,80.41,46.68,83.13,Out of state,0,3,32,0,4
25866,10/25/1992,6-Aug-2012,08-May-2017,3,Geography,1,1,67.29,158.08,0,6.212,0:07:01,77.78,85.61,65.15,76.63,In state,0,3,27,5,10
26223,10/20/1992,6-Aug-2012,08-May-2017,3, ,1,0,66.67,224.44,0, ,0:07:57,87.29,89.62,69.11, ,In state,0,3,39,4,17
26843,10/13/1992,6-Aug-2012,08-May-2017,3,natural science,1,0,57.24,170,0, ,0:09:27,81,86.66,69.38, ,In state,0,3,25,9,8
27177,10/9/1992,6-Aug-2012,08-May-2017,3, ,1,1,64.14, ,0,5.974,0:06:42,88.15,73.14,46.66,85.12,In state,0,3,22,7,10
27638,10/4/1992,6-Aug-2012,14-May-2018,3,graphic design,0,0,69.99,291.73,0,7.46, , ,69.84,60.41,86.99,Out of state,0,1,16,5,5
28044,9/29/1992,6-Aug-2012,08-May-2017,3,Psyc,0,0,74.37, ,0, ,0:08:40,85.18,96.12,73.09,75.36,In state,0,3,33,4,9
49806,9/22/1992,6-Aug-2012,08-May-2017,3,Art education,1,0,63.22,127.69, ,7.616,0:09:20,78.3, ,77.03,78.7,In state,1, , ,3,4
29967,9/6/1992,6-Aug-2012,08-May-2017,3,pre-med,0,0,74.28,264.16,0,6.091,0:08:06,73.27,82.94,70.89,76.99,In state,0,3,30,6,19
30337,8/31/1992,6-Aug-2012,08-May-2017,3, ,1,1,64.95,150.39,0,5.619,0:07:40,81.75,81.38,56.27,82.77,In state,0,3,27,4,8
33162,7/28/1992,6-Aug-2012,14-May-2018,3,social work,0,0, ,204.54,2,5.451,0:06:24,81.73,86.8,67.03,77.71,In state,1, , ,6,10
34690,7/8/1992,6-Aug-2012,14-May-2018,3, ,1,0,57.06,113.7,2,7.993,0:10:02,83.34,75.52,67,78.89,In state,1, , ,2,14
36009,6/25/1992,6-Aug-2012,08-May-2017,3,English - Creative writing,0,0,71.97,205.43,0,7.954, ,84.25,84.65,60.12,83.74,In state,0,2,12,5,14
38020,5/29/1992,6-Aug-2012,14-May-2018,3,creative writing,1,0,62.43,171.13,1,7.17,0:08:57,86.2,79.24,59.85,75.76, ,0,1,15,3,11
39181,5/17/1992,6-Aug-2012,08-May-2017,3, ,0,0, ,216.33,2,8.892,0:10:28,88.44,72.81,62.49,79.9,In state,0,1,18,2,6
40229,5/4/1992,6-Aug-2012,08-May-2017,3,Liberal Studies,0,0,73.37,180.81,0,7.383, ,84.12,86.28,67.47,78.8,In state,0,3,31,6,8
41425,4/17/1992,6-Aug-2012,08-May-2017,3, ,1,0,62.27,150.22,1, ,0:08:18,79.44,91.34,68.44,80.72,Out of state,0,3,31,3,7
44698,3/8/1992,6-Aug-2012,14-May-2018,3, ,1,0,65.85,137.81,0,7.135, ,83.97,80.5,69.57,84.09,In state,0,3,32,2,4
45041,3/4/1992,6-Aug-2012,08-May-2017,3, ,1,0,65.91,160.53,0, ,0:10:33,81.02,88.09,68.74,83.97,In state,0,3,27,6,10
45095,3/3/1992,6-Aug-2012,08-May-2017,3,fine arts,1,1,69.57,153.19,0,5.153, ,84.5,76.92,68,92.34,Out of state,0,3,32,6,9
45788,2/24/1992,6-Aug-2012,14-May-2018,3,Public Relations,1,1, ,165.64,0,5.772,0:05:18,83.46,87.08,64.73,85.32,In state,0,3,25,6,5
46912,2/13/1992,6-Aug-2012,14-May-2018,3, ,0,0,62.1,130.69,2,7.973,0:05:57, ,81.27, ,76.42,In state,0,3,32,7,5
47122,2/7/1992,6-Aug-2012,14-May-2018,3, ,1,0,62.01,177.3,0,7.186,0:10:38,77.71,99.35,85.57,87.08,In state,0,3,29,9,6
47676,2/3/1992,6-Aug-2012,08-May-2017,3,early childhood education,0,0, ,181.18,1,7.109,0:08:59,88.45,88.33,71.93,78.05,In state,0,3,32, ,18
48702,1/22/1992,6-Aug-2012,14-May-2018,3, ,0,0,62.46,155.3,2,7.853,0:08:13,84.65,68.73,55.84,73.04,Out of state,0,3,32,7,4
48976,1/19/1992,6-Aug-2012,14-May-2018,3, ,0,1,73.51,174.89,2,5.845,0:07:15,85.37,71.2,58.1,77.72,In state,0,3,20,4,8
49137,1/17/1992,6-Aug-2012,14-May-2018,3,Philosophey,0,1,65.37,142.54,2,5.941,0:06:40,79.81,66.57,60.05,77.09,In state,0,1,16,7,9
49165,1/16/1992,6-Aug-2012,14-May-2018,3, , ,1,66.32,185.9,2,5.846,0:07:11,90.18,91.35,61.72,75.24,In state,0,3,26,4,9
49931,1/8/1992,6-Aug-2012,14-May-2018,3, ,0,1,67.55,158.7,0,5.14,0:06:01,84.34, ,63.7,75.77,In state,0,4,62,5,10
23871,11/20/1991,6-Aug-2012,14-May-2018,3,military history,0,0, ,297.21,0,6.992,0:08:07,100.78,73.73,60.88,83.99,In state,0,3,22,4,6
26771,10/15/1991,6-Aug-2012,14-May-2018,3,Special Education,1,1,68.09,124.09,1,6.641,0:08:41,92.2,83.69,69.35,91.78,In state,0,3,24,4, 
30329,9/2/1991,6-Aug-2012,14-May-2018,3, ,0,0,67.99,215.85,2,6.082,0:06:44,82.28,81.52,65.08,77.4,In state,0,3,20,5,14
31549,8/18/1991,6-Aug-2012,08-May-2017,3,sports medicine,0,0,71.31,244.67,0,7.452,0:07:57,76.51,80.59,71.18,84.17,Out of state,0,2,10,5, 
35681,6/28/1991,6-Aug-2012,14-May-2018,3,Arcitecture,1,0,60.84,106.97,0,7.374, ,85.45,82.44,46.14,76.75,In state,0,3,29,9,12
36100,6/23/1991,6-Aug-2012,14-May-2018,3, ,0,0,65.51,214.6,0,6.798,0:08:40,95.86,81.47,65.64,87.96,In state,0,3,24,4,16
36863,6/13/1991,6-Aug-2012,08-May-2017,3, ,1,1,65.86,154.31,0,5.079,0:07:58,89.37,82.52,60.47, ,In state,0,3,35,5,9
49821,5/24/1991,6-Aug-2012,08-May-2017,3,Biology (Pre-med),1,1,68.23,164.31,1,5.637,0:07:48,71.93,67.04,62.64, ,Out of state,0,3,32,4, 
41406,4/19/1991,6-Aug-2012,14-May-2018,3,spanish and french,1,0,59.68, ,0,7.136,0:09:53,83.86,74.11,61.29,82.26,In state,0,2,8,6,9
46722,2/13/1991,6-Aug-2012,14-May-2018,3,physik,1,1,71.8,152.03,1,6.481,0:08:12,97.49,78.84,64.89,88.09, ,0,3,21, ,10
48295,1/25/1991,6-Aug-2012,14-May-2018,3, ,1,0,64.87,203.55,0,6.895,0:07:49,84.41,84.5,72.06,91.38,In state,0,3,24,3,19
21256,12/21/1990,6-Aug-2012,14-May-2018,3,Pre-law,1,0,63.02,201.87,0,8.232,0:08:36,77.96,80.23,56.93,77.73,In state,0,3,22, ,6
24904,11/6/1990,6-Aug-2012,14-May-2018,3, ,1,0,58.69,135.69,0,7.024,0:07:38,86.8,83.24,64.88,86.69,In state,0,3,38,6,8
25251,11/3/1990,6-Aug-2012,14-May-2018,3,management,0,1,74.23, ,0,4.631,0:06:16,93.63,98.19,79.65,73.97,In state,1, , ,4,4
26034,10/24/1990,6-Aug-2012,08-May-2017,3,aaaaaaaaaaaaaa,1,1,66.63,153.12,0, ,0:07:44,89.29,96.8,93.78,88.77,Out of state,0,3,22,7,10
30424,9/1/1990,6-Aug-2012,14-May-2018,3, ,0,0,74.45,190.46,0,8.047,0:05:59,79.59,83.55,67.99,73.9,Out of state,0,3,27,1,11
30968,8/24/1990,6-Aug-2012,08-May-2017,3,Geology,1,0,71.62, ,0,6.989,0:09:13,78,81.51,62.14,74.13,In state,0,3,36,3, 
31419,8/20/1990,6-Aug-2012,14-May-2018,3, ,0,0,61.1,166.91,0,6.614,0:06:39,95.81,95.42,74.81,72.48,In state,0,3,33,1,3
35048,7/5/1990,6-Aug-2012,08-May-2017,3,Performing arts,1,0,72.68,270.29,1, ,0:09:41,91.35,86.26,58.31,77.66,In state,0,3,36,3,11
36681,6/18/1990,6-Aug-2012,08-May-2017,3,Geography,0,0,61.51,153.93,2,6.769,0:06:55,87.6,85.4,60.27,73.29,In state,0,1,9,5,9
38928,5/19/1990,6-Aug-2012,08-May-2017,3,Architecture,1,0,65.76,190.53,1,7.285,0:12:39,79.14,69.98,50.42, ,In state,0,3,34,9,10
42520,4/6/1990,6-Aug-2012,08-May-2017,3,athletic training,0,0,70.79,196.86,0,7.068,0:07:32,85.68,77.2,70.87,69.61,In state,0,3,33,3,8
46857,2/13/1990,6-Aug-2012,14-May-2018,3, ,0,0,74.34,300.24,0,6.284, ,93.34,92.08,71.69,79.27,In state,0,4,53,4,11
22652,12/4/1989,6-Aug-2012,14-May-2018,3, ,1,0, ,127.17,0,7.226,0:10:28,76.69,70.11,53.54,78.82,In state,0,1,13,3,4
30070,9/5/1989,6-Aug-2012,14-May-2018,3,Education - Pre-K,0,1,74.33, , ,5.772,0:06:34,76.55,81.33,61.31,79.3,In state,0,2,9,9,9
37310,6/8/1989,6-Aug-2012,08-May-2017,3,school psych,1,1,65.75,169.13,1,4.889,0:06:39,90.76,93.96,69.55,82.52,In state,1, , , ,12
49854,2/24/1989,6-Aug-2012,08-May-2017,3, ,0,0,62.8,256.03, ,6.283,0:05:14,81.22,86.67,66.44,78.63,In state,0,3,24,7,11
32786,8/2/1988,6-Aug-2012,14-May-2018,3, ,1,0,66.03,211.24,0,6.787,0:10:21,82.95,83.26,68.23,82.78,In state,0,3,28,4,11
33358,7/26/1988,6-Aug-2012,14-May-2018,3,History,1,0, ,155.65,0, ,0:10:17,85.83,97.22,77.92,73.17,In state,0,3,27,3,8
36691,6/17/1988,6-Aug-2012,08-May-2017,3,German,0,0, , ,0,6.924,0:07:56,70.35,75.49,59.63,75.31,In state,1, , ,8,8
30268,9/3/1985,6-Aug-2012,08-May-2017,3, ,0,0,73.58,319.65,1,6.535,0:07:26,81.1,87.48,71.3,72.35,In state,0,3,22,4,11
33692, ,6-Aug-2012,08-May-2017,3,communications,0,1, ,187.8,0,5.357,0:05:18,72,80.06,70.34,74.8,Out of state,0,3,22,6,16
31434,8/19/1992,1-Aug-2011,08-May-2017,4,thaeter,0,0,61.75,182.23,2,6.801,0:05:07,92.32,91.04,73.11,73.45,In state,0,3,27,3,6
45762,2/24/1992,1-Aug-2011,09-May-2016,4,Computer Science,1,0,66.04, ,2,8.62,0:12:17,78.33,85.84,62.68,81.88,In state,0,3,25,4,13
21421,12/19/1991,1-Aug-2011,09-May-2016,4,Environmental science,1,1,63.38, ,0,5.08,0:07:26,85.87,95.07,72.42,84.3,In state,0,2,10,4,8
21610,12/17/1991,1-Aug-2011,08-May-2017,4,Paleontology,0,1,72.05,177,0,5.124,0:05:51,94.38,89.54,82.12,82.54,In state,0,3,28,3,12
22240,12/9/1991,1-Aug-2011,08-May-2017,4,biomed engineering,1,1,66.35,138.24,0, ,0:07:17,86.28,88.13,62.92,90.27,Out of state,0,3,25,4,13
23659,11/22/1991,1-Aug-2011,08-May-2017,4,Math,0,0,69.82,274.67,0, ,0:07:22,83.23,84.39,59.27,75.95,Out of state,0,3,28,3,6
29470,9/12/1991,1-Aug-2011,09-May-2016,4, ,1,1,68.53,143.69,0,4.77,0:06:03,75.43,79.27,66.95,76.09,Out of state,0,3,32,10,9
31575,8/18/1991,1-Aug-2011,08-May-2017,4,Latin,0,1,65.77,167.12,0,4.974,0:05:29,76.02,71.41,72.19,72.54,In state,0,3,33,5,9
32404,8/8/1991,1-Aug-2011,08-May-2017,4,Hahahaha,0,0,66.09,145.31,0,8.997,0:09:25,84.45,89.39,75.19, ,In state,0,1,21,7, 
32929,8/1/1991,1-Aug-2011,09-May-2016,4,humanities,0,1,66.63,169.6,0, , , ,78.35,55.21,70.56,Out of state,0,3,30,2, 
33022,8/1/1991,1-Aug-2011,09-May-2016,4, ,0,1,70.95,157.37,0,5.771,0:06:19,87.37,84.39,70.13,75.07,In state,0,1,9,5,12
33348,7/26/1991,1-Aug-2011,08-May-2017,4, ,1,1,66.68,144.26,0,6.16,0:06:27,82.61,76.39,53.91,85.18,Out of state,1, , ,3,14
34469,7/14/1991,1-Aug-2011,08-May-2017,4,Spanish,0,1,73.28,186.9, ,5.341,0:07:44,87.01,83.46,61.09,79.6,Out of state,0,3,32,5,14
35684,6/29/1991,1-Aug-2011,08-May-2017,4, ,0,0, ,167.26,0,5.595,0:06:14, ,86.65,63.07,71.33,In state,0,1,10,2,7
36404,6/21/1991,1-Aug-2011,08-May-2017,4,Gender Studies,0,0,66.72,190.07,0,8.112,0:09:44, ,63.48,63.19,80.27,In state,0, , ,4, 
38644,5/25/1991,1-Aug-2011,08-May-2017,4,Computer Programming,0,0,74.8,197.22,2,8.177,0:10:26,79.38,82.64,66.51, ,Out of state,0,1,15,4,14
40900,4/27/1991,1-Aug-2011,08-May-2017,4,don't know yet,0,1,71.71,200.31,0, , ,92.22,88.87,63.82,88.8,In state,0,3,32,5,11
41762,4/17/1991,1-Aug-2011,08-May-2017,4,Forensic  science,0,1,65.45,176.93,0,5.234,0:06:45,79.18,86.06,63.77,70.28,Out of state,0,3,28,4,13
43596,3/24/1991,1-Aug-2011,09-May-2016,4,Art History,0,1,69.57,182.52,0,4.748,0:06:20,70.73,84.95,75.84,76.98,In state,0,2,7,7,11
44640,3/10/1991,1-Aug-2011,08-May-2017,4, ,1,1,66.89,127.14,0,4.81,0:07:17,83.17,95.24,69.33,78.4,In state,0,3,21,4,7
47709,2/3/1991,1-Aug-2011,09-May-2016,4,nutrition,0,0,84.16,208.06,1,8.034,0:06:25,89.25,87.09,66.9,80.91,In state,0,1,14,10,6
48238,1/28/1991,1-Aug-2011,08-May-2017,4, ,0,0,67.24,272.58,2,5.295,0:08:15,78.9,68.82,62.43,75.59,In state,0,1,20, ,12
48112,1/27/1991,1-Aug-2011,09-May-2016,4,History,1,1,66.52,166.58,0,6.364,0:07:54,77.66,87.67,75.85, ,In state,0,3,32,4,10
22167,12/10/1990,1-Aug-2011,09-May-2016,4,stage management,0,0,67.02,214.95,0,7.61,0:09:01,80.08,75.46,71.2,74.78,In state,0,3,37,4,16
23717,11/21/1990,1-Aug-2011,09-May-2016,4, ,1,0,59.25,110.62,0,7.419,0:08:17,85.03,81.98,72.9,85.7,Out of state,0,3,33,5,23
25875,10/26/1990,1-Aug-2011,08-May-2017,4, ,1,0,72.41, ,0,7.571,0:11:25,78.41,88.07,66.28,82.75, , ,3,26,8,4
26367,10/19/1990,1-Aug-2011,09-May-2016,4,Ethnomusicology,1,0,69.84,174.28,0,6.969,0:10:15,77.24,72.75,63.06,84.48,In state,0,4,59,4, 
26510,10/18/1990,1-Aug-2011,09-May-2016,4, ,0,1,66.56,196.32,0,5.002,0:07:26,99.56,85.94,80.59,79.12,In state,0,3,26,4,11
27209,10/9/1990,1-Aug-2011,08-May-2017,4, ,1,1,66.28,163.19,0,6.167, ,81.37,72.15,58.36,87.49,In state,0,3,29,3,12
29115,9/17/1990,1-Aug-2011,08-May-2017,4,athletic trainer,0,1,72.49,217.29,0,5.55,0:06:20,86.3,92.01,65.03,76.4,In state,0,2,9,5, 
31078,8/23/1990,1-Aug-2011,09-May-2016,4, ,1,0,70.85,151.98,0, ,0:13:39,82.12,69.32,58.7,84.21,In state,0,3,28,5, 
34362,7/13/1990,1-Aug-2011,09-May-2016,4, ,1,0,62.79,154.95,1,7.268,0:10:40,78.07,75.3,60.59,80.5,In state,0,3,35,7,15
34581,7/12/1990,1-Aug-2011,08-May-2017,4,nutrition,0,0,61.53, ,0,6.685,0:08:07,89.06, ,64.93,69.07,Out of state,0,3,30,0,6
34591,7/11/1990,1-Aug-2011,09-May-2016,4,Comp Sci,1,0,67.68,155.29, ,8.408,0:10:59,79.43,75.91,59.55,78.19,Out of state,0,1,11,7,18
35886,6/27/1990,1-Aug-2011,09-May-2016,4,Chemical Engineering,0,1,74.49,214.03,0,4.984,0:06:44,80.02,84.81,64.96,67.97,In state,0,3,20,6,10
37713,6/4/1990,1-Aug-2011,09-May-2016,4,fnrech,0,1,73.55,181.47,0, ,0:06:52,70.76,80.71,69.43,74.74,In state,0,1,23,3, 
39415,5/13/1990,1-Aug-2011,09-May-2016,4, ,1,0,63.11, ,0,6.96,0:10:08,83.7,82,56.14,84.95,Out of state,0,1,20,5,9
40313,5/3/1990,1-Aug-2011,09-May-2016,4, ,1,1,64.78,168.88,0,5.584,0:06:53,81.33,77.14,52.83,81.41,In state,0,3,29,3,12
41168,4/23/1990,1-Aug-2011,08-May-2017,4,HDFS,0,1,80.86,226.48,0,5.998,0:06:10,73.63,79.24,71.05,78.69,In state,0,3,24,4,10
41165,4/21/1990,1-Aug-2011,09-May-2016,4, ,1,0,73.21,161.72,0,8.783,0:13:40,80.14,86.07,74.68,88.19,Out of state,0,3,23,8,6
42826,4/3/1990,1-Aug-2011,09-May-2016,4,Political Science,0,1,66.91,156.65,1,5.648,0:07:08,83.41,86.06,77.26,79.55,In state,0,4,53,5,5
43676,3/21/1990,1-Aug-2011,08-May-2017,4, ,1,0,68.86,133.01,0,7.62,0:11:38,87,81.94,47.07,78.77,Out of state,0,3,37,3, 
44968,3/9/1990,1-Aug-2011,08-May-2017,4,psychology,0,0,80.73,225.58,0,7.079,0:06:45,88.62,78.27,68.66,77.58,In state,0,3,28,3,10
45928,2/22/1990,1-Aug-2011,09-May-2016,4, ,1,0,68.91,144.17,2,9.159,0:14:02,81.07,85.37, ,78.32,In state,0,3,38,5,10
46439,2/16/1990,1-Aug-2011,09-May-2016,4,bachelor of fine arts in theater,1,0,63.25,191.19,0,6.9,0:09:17,84.35,74.53,55.72,86.93,In state,0,1,9,6,13
48958,1/17/1990,1-Aug-2011,09-May-2016,4,Fein Arts,1,1,66.14,158.98,2,7.079,0:07:58,85.75,77.39,44.7,80.65,In state,0,3,31,8,7
49572,1/9/1990,1-Aug-2011,09-May-2016,4,Sport Medicine,1,0,60.68,122.24,2,7.747,0:09:05,75.69,78.1,47.1,79.72,In state,0,3,31,7,7
21254,12/21/1989,1-Aug-2011,09-May-2016,4, ,0,1,72.15, ,0,5.203,0:08:56,71.87,93.95, ,75.98,In state,0,3,31,8,9
23037,11/29/1989,1-Aug-2011,08-May-2017,4,Speech Pathology and Audiology,1,0,63.61,191.16,2,6.587,0:09:01, ,64.68,64.67,84.71,Out of state,0,3,32,4,4
23340,11/26/1989,1-Aug-2011,08-May-2017,4,AstronomyÂ ,1,1,64.46,134.77,0,6.177,0:08:11,75.05,88.79,85.69,83.22, ,0,3,19,4,8
24362,11/13/1989,1-Aug-2011,09-May-2016,4, ,1,0,71.35,212.08,0,7.559,0:09:04,79.1,88.78,62.85,76.6,In state,0,3,22,6,8
28328,9/26/1989,1-Aug-2011,08-May-2017,4,Elementary ed,0,0,63.07,191.58,0,7.095,0:06:12, ,89,72.63,77.47,In state,0,3,15,2,3
30139,9/4/1989,1-Aug-2011,08-May-2017,4,Accounting,0,1,76.18,208.45,0,5.115,0:07:19,86.22,79.21,68.17,72.81,In state,0,2,13,3,14
32380,8/8/1989,1-Aug-2011,08-May-2017,4,I haven't picked one yet,0,0,69.67,189.78,2,8.527,0:07:45, ,73.03,65.42,86.18,In state,0,3,27, ,16
35269,7/4/1989,1-Aug-2011,09-May-2016,4, ,0,1,71.45,144.14,0, ,0:07:29,87.17,82.29,67.32,84.23,In state,0,3,24,4,11
38872,5/19/1989,1-Aug-2011,08-May-2017,4,commm studies,1,0,60.2,183.13,2,6.111,0:09:28,83.49,84.04,76.01,87.54,In state,0,3,32,4,23
39413,5/12/1989,1-Aug-2011,08-May-2017,4, ,1,1,67.42, ,0,4.927,0:05:35,89.35,71.08,59.71,77.94,In state,0,3,32, , 
45256,3/3/1989,1-Aug-2011,09-May-2016,4,Interior design,1,1, ,174.82,2,6.486,0:07:11,84.96,90.88,59.03,79.53,In state, ,3,31,7, 
48529,1/21/1989,1-Aug-2011,08-May-2017,4,Science,1,0,67.31,154.31,0,7.819,0:11:35,84.16,80.63,64.3,83.45,Out of state,0,3,27,0, 
36563,6/17/1988,1-Aug-2011,09-May-2016,4,Marketing,1,0,66.26,151.68,0,7.036,0:10:59,83.53,80.02,66.33,84.21,In state,0,3,27,5,12
34021,7/18/1987,1-Aug-2011,08-May-2017,4,accounting,1,0, , ,0, ,0:12:55,87.72,84.99,65.31, ,In state,0,1,18,1,10
40697,4/29/1987,1-Aug-2011,09-May-2016,4, ,0,0,68.5,131.92,0,9.125,0:08:33,91.01,86.87,70.25,82.67,In state,0,3,26,6,15
34272, ,1-Aug-2011,09-May-2016,4,nursing,0,1,68.1,130.07,0, , ,81.05,85.76,58.16,81.87, ,0,3,29,6,10
33628, ,1-Aug-2011,08-May-2017,4,Nursing,1,1,69.27,157.26,2,6.905,0:08:26,75.59,85.97,66.84,79.35,In state,0,1,14,4,10
39298, ,1-Aug-2011,08-May-2017,4, ,1,1,66.68,152.33,1,6.233,0:07:13,75.65,77.24,60.24,75.23,In state,0,3,27,2,10
